"VALUE","MEANING"
7717,"Spanish lime"
7763,"aguacatillo"
7764,"cacaillo"
7768,"teabush"
7803,"hairy johnnyberry"
7804,"saquiyac"
7806,"Puerto Rico johnnyberry"
7807,"camasey de costilla"
7808,"smooth johnnyberry"
7810,"camasey cuatrocanales"
7812,"camasey racimoso"
7813,"granadillo bobo"
7814,"auquey"
7815,"ridge johnnyberry"
7816,"camasey felpa"
7817,"peralejo"
7818,"jau jau"
7819,"mountain johnnyberry"
7821,"forest johnnyberry"
7822,"rajador"
7823,"camasey tomaso"
7828,"caimitillo verde"
7829,"Micropholis guyanensis"
7833,"elegant mimosa"
7839,"monodora"
7845,"Morella cerifera"
7847,"Morella holdridgeana"
7849,"Indian mulberry"
7855,"horseradishtree"
7857,"ratapple"
7862,"murta"
7863,"mameyuelo"
7867,"strawberrytree"
7869,"Murraya exotica"
7886,"red rodwood"
7887,"cieneguillo"
7888,"curame"
7889,"guayabacon"
7890,"ausu"
7891,"punchberry"
7893,"twinberry"
7895,"guavaberry"
7905,"cercipo"
7907,"balsam of Tolu"
7911,"leathery colicwood"
7912,"Myrsine cubana"
7932,"Nectandra coriacea"
7933,"shinglewood"
7934,"Nectandra krugii"
7935,"Nectandra membranacea"
7936,"Nectandra patens"
7939,"Nectandra turbacensis"
7940,"saltwood"
7944,"kadam"
7946,"aquilon"
7956,"oleander"
7976,"African bird's-eye bush"
7980,"Ochroma pyramidale"
7990,"laurel espada"
7991,"black sweetwood"
7994,"loblolly sweetwood"
7996,"nemoca"
7997,"laurel sassafras"
7999,"laurel de paloma"
8001,"nemoca cimarrona"
8003,"Wright's laurel canelon"
8020,"peronia"
8027,"pincho palo de rosa"
8029,"chicharron amarillo"
8030,"abey amarillo"
8032,"guanabanilla"
8033,"blacklancewood"
8034,"haya"
8037,"wild chestnut"
8045,"tafetan"
8047,"red cappel"
8049,"Palicourea croceoides"
8051,"showy cappel"
8088,"common screwpine"
8099,"scratchthroat"
8106,"parkia"
8110,"Parkia timoriana"
8111,"Jerusalem thorn"
8113,"cuachilote"
8114,"candle tree"
8121,"Peltophorum pterocarpum"
8125,"butter tree"
8127,"jiqi"
8134,"canela"
8138,"aquacatillo"
8141,"bastard stopper"
8143,"aquilon prieto"
8144,"candlewood"
8157,"Tahitian gooseberry tree"
8160,"gamo de costa"
8162,"Phyllanthus orbicularis"
8164,"Florida bitterbush"
8167,"bitterwood"
8169,"fustic"
8171,"aceitillo"
8173,"Royen's tree cactus"
8175,"allspice"
8177,"bayrumtree"
8178,"bayrumtree"
8183,"Caribbean pine"
8184,"Chinese red pine"
8185,"Merkus pine"
8186,"ocote chino"
8187,"Mexican weeping pine"
8190,"higuillo de hoja menuda"
8191,"higuillo de limon"
8192,"moth pepper"
8193,"Guyanese pepper"
8194,"Jamaican pepper"
8195,"Caracas pepper"
8196,"marigold pepper"
8199,"spanish elder"
8208,"stinkwood"
8211,"corcho bobo"
8216,"water mampoo"
8220,"monkeypod"
8223,"catclaw blackbead"
8249,"Oriental arborvitae"
8255,"chupa gallo"
8266,"nosegaytree"
8268,"Singapore graveyard flower"
8269,"Plumeria obtusa"
8271,"templetree"
8273,"yucca plum pine"
8275,"Poitea florida"
8276,"Poitea punicea"
8279,"violet tree"
8280,"crevajosa"
8284,"geranium aralia"
8300,"cocuyo"
8301,"redmammee"
8302,"bullytree"
8305,"mammee sapote"
8311,"Prestoea acuminata"
8340,"guasimilla"
8342,"jand"
8344,"kiawe"
8346,"West Indian cherry"
8347,"western cherry laurel"
8349,"Prunus serotina"
8352,"false breadnut"
8353,"Florida cherry palm"
8354,"mountain guava"
8356,"guava"
8358,"Psidium longipes"
8359,"Sintenis' guava"
8361,"cachimbo-cumun"
8362,"palo de cachimbo"
8363,"Browne's wild coffee"
8364,"Psychotria domingensis"
8367,"cachimbo grande"
8389,"cachimbo de gato"
8391,"cachimbo de maricao"
8394,"thicket wild coffee"
8395,"floating balsamo"
8397,"hairy wild coffee"
8407,"pterocarpus"
8408,"Burma padauk"
8409,"Malabar kino"
8410,"dragonsblood tree"
8419,"pomegranate"
8422,"swizzlestick tree"
8425,"white indigoberry"
8433,"palo amargo"
8436,"traveler's tree"
8439,"tortugo prieto"
8444,"guama"
8445,"Krug's darlingplum"
8447,"sloe"
8472,"castorbean"
8476,"greenheart ebony"
8478,"Rochefortia spinosa"
8481,"wild sugar apple"
8483,"cordobancillo"
8484,"cordobancillo peludo"
8485,"Juan Tomas"
8489,"Puerto Rico royal palm"
8490,"Roystonea elata"
8494,"Puerto Rico palmetto"
8499,"white hogwood"
8501,"Salix humboldtiana"
8505,"raintree"
8509,"common elderberry"
8511,"Graves oak"
8512,"Mexican white oak"
8513,"Buckley oak"
8514,"Lacey oak"
8529,"wingleaf soapberry"
8533,"gumtree"
8535,"hinchahuevos"
8536,"milktree"
8546,"amansa guapo"
8554,"Florida boxwood"
8556,"guayabilla"
8557,"yuquilla"
8558,"matchwood"
8563,"Brazilian peppertree"
8565,"Brazilian firetree"
8567,"lac tree"
8571,"arana"
8572,"white beefwood"
8573,"gulf graytwig"
8588,"emperor's candlesticks"
8589,"flor de San Jose"
8591,"false sicklepod"
8594,"retama prieta"
8596,"Siamese cassia"
8597,"casia amarilla"
8599,"Senna sulfurea"
8600,"glossy shower"
8605,"vegetable hummingbird"
8611,"espejuelo"
8613,"breakbill"
8614,"Puerto Rico bully"
8617,"simarouba"
